time,temperature_C,precipitation_mm,wind_speed_mps,ingested_at
2025-11-20 09:00:00,2.4,0.0,7.7,2025-11-19 10:10:08.653645
2025-11-20 10:00:00,3.8,0.0,6.8,2025-11-19 10:10:08.653645
2025-11-20 11:00:00,4.9,0.0,6.4,2025-11-19 10:10:08.653645
2025-11-20 12:00:00,5.6,0.0,4.4,2025-11-19 10:10:08.653645
2025-11-20 13:00:00,6.3,0.0,3.6,2025-11-19 10:10:08.653645
2025-11-20 14:00:00,6.7,0.0,2.5,2025-11-19 10:10:08.653645
2025-11-20 15:00:00,6.7,0.0,2.7,2025-11-19 10:10:08.653645
2025-11-20 16:00:00,5.9,0.0,2.6,2025-11-19 10:10:08.653645
2025-11-20 17:00:00,3.9,0.0,7.1,2025-11-19 10:10:08.653645
2025-11-20 18:00:00,2.6,0.0,7.4,2025-11-19 10:10:08.653645
2025-11-20 19:00:00,2.2,0.0,2.9,2025-11-19 10:10:08.653645
2025-11-20 20:00:00,1.7,0.0,3.6,2025-11-19 10:10:08.653645
2025-11-20 21:00:00,1.1,0.0,4.3,2025-11-19 10:10:08.653645
2025-11-20 22:00:00,0.7,0.0,2.2,2025-11-19 10:10:08.653645
2025-11-20 23:00:00,0.4,0.0,1.5,2025-11-19 10:10:08.653645
2025-11-21 00:00:00,0.3,0.0,2.4,2025-11-19 10:10:08.653645
2025-11-21 01:00:00,0.3,0.0,1.9,2025-11-19 10:10:08.653645
2025-11-21 02:00:00,6.6,0.0,4.7,2025-11-19 10:10:08.653645
2025-11-21 03:00:00,6.7,0.0,4.6,2025-11-19 10:10:08.653645
2025-11-21 04:00:00,6.9,0.0,7.9,2025-11-19 10:10:08.653645
2025-11-21 05:00:00,7.0,0.0,7.0,2025-11-19 10:10:08.653645
2025-11-21 06:00:00,7.1,0.0,6.4,2025-11-19 10:10:08.653645
2025-11-21 07:00:00,7.1,0.0,6.7,2025-11-19 10:10:08.653645
2025-11-21 08:00:00,7.2,0.0,6.1,2025-11-19 10:10:08.653645
2025-11-21 09:00:00,7.7,0.0,9.0,2025-11-19 10:10:08.653645
2025-11-21 10:00:00,8.5,0.0,10.0,2025-11-19 10:10:08.653645
2025-11-21 11:00:00,9.0,0.0,10.6,2025-11-19 10:10:08.653645
2025-11-21 12:00:00,10.1,0.0,12.7,2025-11-19 10:10:08.653645
2025-11-21 13:00:00,11.1,0.0,11.8,2025-11-19 10:10:08.653645
2025-11-21 14:00:00,11.7,0.0,14.2,2025-11-19 10:10:08.653645
2025-11-21 15:00:00,11.9,0.0,11.5,2025-11-19 10:10:08.653645
2025-11-21 16:00:00,11.5,0.0,11.5,2025-11-19 10:10:08.653645
2025-11-21 17:00:00,11.1,0.0,9.0,2025-11-19 10:10:08.653645
2025-11-21 18:00:00,11.1,0.0,10.5,2025-11-19 10:10:08.653645
2025-11-21 19:00:00,10.9,0.0,11.8,2025-11-19 10:10:08.653645
2025-11-21 20:00:00,10.6,0.0,11.9,2025-11-19 10:10:08.653645
2025-11-21 21:00:00,10.3,0.3,8.8,2025-11-19 10:10:08.653645
2025-11-21 22:00:00,10.2,0.1,10.1,2025-11-19 10:10:08.653645
2025-11-21 23:00:00,10.0,0.8,8.8,2025-11-19 10:10:08.653645
2025-11-22 00:00:00,9.8,1.3,7.6,2025-11-19 10:10:08.653645
2025-11-22 01:00:00,9.8,3.1,5.9,2025-11-19 10:10:08.653645
2025-11-22 02:00:00,9.9,2.4,6.1,2025-11-19 10:10:08.653645
2025-11-22 03:00:00,10.1,1.8,5.1,2025-11-19 10:10:08.653645
2025-11-22 04:00:00,10.3,1.6,3.1,2025-11-19 10:10:08.653645
2025-11-22 05:00:00,10.4,0.3,6.9,2025-11-19 10:10:08.653645
2025-11-22 06:00:00,10.1,0.2,8.2,2025-11-19 10:10:08.653645
2025-11-22 07:00:00,10.0,0.5,8.0,2025-11-19 10:10:08.653645
2025-11-22 08:00:00,10.2,0.9,8.1,2025-11-19 10:10:08.653645
2025-11-22 09:00:00,10.3,0.3,8.2,2025-11-19 10:10:08.653645
2025-11-22 10:00:00,10.6,0.1,9.7,2025-11-19 10:10:08.653645
2025-11-22 11:00:00,10.7,0.1,11.8,2025-11-19 10:10:08.653645
2025-11-22 12:00:00,10.9,0.1,15.5,2025-11-19 10:10:08.653645
2025-11-22 13:00:00,10.9,0.1,16.3,2025-11-19 10:10:08.653645
2025-11-22 14:00:00,11.3,0.0,17.0,2025-11-19 10:10:08.653645
2025-11-22 15:00:00,11.4,0.0,22.9,2025-11-19 10:10:08.653645
2025-11-22 16:00:00,10.4,0.0,23.3,2025-11-19 10:10:08.653645
2025-11-22 17:00:00,9.2,0.0,23.0,2025-11-19 10:10:08.653645
2025-11-22 18:00:00,8.3,0.0,20.5,2025-11-19 10:10:08.653645
2025-11-22 19:00:00,7.4,0.0,20.5,2025-11-19 10:10:08.653645
2025-11-22 20:00:00,6.7,0.0,18.1,2025-11-19 10:10:08.653645
2025-11-22 21:00:00,6.3,0.0,14.3,2025-11-19 10:10:08.653645
2025-11-22 22:00:00,5.9,0.0,11.1,2025-11-19 10:10:08.653645
2025-11-22 23:00:00,5.5,0.0,11.7,2025-11-19 10:10:08.653645
2025-11-23 00:00:00,5.1,0.0,11.6,2025-11-19 10:10:08.653645
2025-11-23 01:00:00,4.7,0.0,10.9,2025-11-19 10:10:08.653645
2025-11-23 02:00:00,4.4,0.0,9.1,2025-11-19 10:10:08.653645
2025-11-23 03:00:00,4.1,0.0,9.7,2025-11-19 10:10:08.653645
2025-11-23 04:00:00,3.9,0.0,8.3,2025-11-19 10:10:08.653645
2025-11-23 05:00:00,3.7,0.0,6.5,2025-11-19 10:10:08.653645
2025-11-23 06:00:00,3.5,0.0,5.4,2025-11-19 10:10:08.653645
2025-11-23 07:00:00,3.4,0.0,5.1,2025-11-19 10:10:08.653645
2025-11-23 08:00:00,3.7,0.0,4.7,2025-11-19 10:10:08.653645
2025-11-23 09:00:00,4.4,0.0,3.2,2025-11-19 10:10:08.653645
2025-11-23 10:00:00,5.2,0.0,1.6,2025-11-19 10:10:08.653645
2025-11-23 11:00:00,6.0,0.0,5.1,2025-11-19 10:10:08.653645
2025-11-23 12:00:00,6.6,0.0,6.5,2025-11-19 10:10:08.653645
2025-11-23 13:00:00,7.2,0.0,6.0,2025-11-19 10:10:08.653645
2025-11-23 14:00:00,7.5,0.0,7.2,2025-11-19 10:10:08.653645
2025-11-23 15:00:00,7.7,0.0,6.9,2025-11-19 10:10:08.653645
2025-11-23 16:00:00,7.5,0.0,9.1,2025-11-19 10:10:08.653645
2025-11-23 17:00:00,7.0,0.0,10.6,2025-11-19 10:10:08.653645
2025-11-23 18:00:00,7.0,0.0,10.7,2025-11-19 10:10:08.653645
2025-11-23 19:00:00,7.3,0.0,10.1,2025-11-19 10:10:08.653645
2025-11-23 20:00:00,7.2,0.0,10.4,2025-11-19 10:10:08.653645
2025-11-23 21:00:00,7.2,0.0,10.9,2025-11-19 10:10:08.653645
2025-11-23 22:00:00,7.0,0.0,12.1,2025-11-19 10:10:08.653645
2025-11-23 23:00:00,6.8,0.0,12.5,2025-11-19 10:10:08.653645
2025-11-24 00:00:00,6.5,0.0,12.5,2025-11-19 10:10:08.653645
2025-11-24 01:00:00,6.3,0.0,12.7,2025-11-19 10:10:08.653645
2025-11-24 02:00:00,6.2,0.0,13.0,2025-11-19 10:10:08.653645
2025-11-24 03:00:00,6.1,0.0,13.5,2025-11-19 10:10:08.653645
2025-11-24 04:00:00,6.0,0.0,13.7,2025-11-19 10:10:08.653645
2025-11-24 05:00:00,5.8,0.0,13.5,2025-11-19 10:10:08.653645
2025-11-24 06:00:00,5.6,0.0,12.7,2025-11-19 10:10:08.653645
2025-11-24 07:00:00,5.8,0.0,12.5,2025-11-19 10:10:08.653645
2025-11-24 08:00:00,6.3,0.0,13.6,2025-11-19 10:10:08.653645
2025-11-24 09:00:00,7.2,0.0,15.1,2025-11-19 10:10:08.653645
2025-11-24 10:00:00,8.1,0.0,16.1,2025-11-19 10:10:08.653645
2025-11-24 11:00:00,9.2,0.0,16.2,2025-11-19 10:10:08.653645
2025-11-24 12:00:00,10.4,0.0,15.8,2025-11-19 10:10:08.653645
2025-11-24 13:00:00,11.3,0.0,15.4,2025-11-19 10:10:08.653645
2025-11-24 14:00:00,11.7,0.0,14.8,2025-11-19 10:10:08.653645
2025-11-24 15:00:00,11.7,0.0,14.6,2025-11-19 10:10:08.653645
2025-11-24 16:00:00,11.6,0.0,13.8,2025-11-19 10:10:08.653645
2025-11-24 17:00:00,11.3,0.0,12.7,2025-11-19 10:10:08.653645
2025-11-24 18:00:00,10.8,0.0,11.8,2025-11-19 10:10:08.653645
2025-11-24 19:00:00,10.4,0.0,10.7,2025-11-19 10:10:08.653645
2025-11-24 20:00:00,10.1,0.0,9.5,2025-11-19 10:10:08.653645
2025-11-24 21:00:00,9.8,0.0,8.6,2025-11-19 10:10:08.653645
2025-11-24 22:00:00,9.5,0.0,8.3,2025-11-19 10:10:08.653645
2025-11-24 23:00:00,9.4,0.0,8.3,2025-11-19 10:10:08.653645
2025-11-25 00:00:00,9.2,0.0,8.4,2025-11-19 10:10:08.653645
2025-11-25 01:00:00,9.1,0.0,8.0,2025-11-19 10:10:08.653645
2025-11-25 02:00:00,9.0,0.0,6.8,2025-11-19 10:10:08.653645
2025-11-25 03:00:00,8.9,0.0,6.3,2025-11-19 10:10:08.653645
2025-11-25 04:00:00,8.7,0.0,7.0,2025-11-19 10:10:08.653645
2025-11-25 05:00:00,8.5,0.0,7.7,2025-11-19 10:10:08.653645
2025-11-25 06:00:00,8.2,0.0,7.9,2025-11-19 10:10:08.653645
2025-11-25 07:00:00,8.1,0.0,7.9,2025-11-19 10:10:08.653645
2025-11-25 08:00:00,8.5,0.0,8.3,2025-11-19 10:10:08.653645
2025-11-25 09:00:00,9.1,0.0,9.7,2025-11-19 10:10:08.653645
2025-11-25 10:00:00,9.8,0.0,10.3,2025-11-19 10:10:08.653645
2025-11-25 11:00:00,10.4,0.0,8.8,2025-11-19 10:10:08.653645
2025-11-25 12:00:00,11.0,0.0,7.2,2025-11-19 10:10:08.653645
2025-11-25 13:00:00,11.3,0.0,8.2,2025-11-19 10:10:08.653645
2025-11-25 14:00:00,11.3,0.0,9.9,2025-11-19 10:10:08.653645
2025-11-25 15:00:00,11.0,0.0,11.4,2025-11-19 10:10:08.653645
2025-11-25 16:00:00,10.7,0.0,12.4,2025-11-19 10:10:08.653645
2025-11-25 17:00:00,10.5,0.1,12.8,2025-11-19 10:10:08.653645
2025-11-25 18:00:00,10.2,0.1,13.0,2025-11-19 10:10:08.653645
2025-11-25 19:00:00,10.0,0.1,13.7,2025-11-19 10:10:08.653645
2025-11-25 20:00:00,9.8,0.5,15.6,2025-11-19 10:10:08.653645
2025-11-25 21:00:00,9.7,0.5,18.3,2025-11-19 10:10:08.653645
2025-11-25 22:00:00,9.7,0.5,20.7,2025-11-19 10:10:08.653645
2025-11-25 23:00:00,9.9,0.5,22.3,2025-11-19 10:10:08.653645
