PrevYrDrought,SoilMoisture,GroundWater,Plantings,WindyDays
0,8,19,1,36
0,21,4,1,29
1,9,6,1,22
0,16,21,1,10
0,1,9,1,38
0,6,19,1,42
1,15,5,2,12
1,13,4,2,18
0,8,22,1,11
0,25,9,1,27
1,4,4,1,38
1,12,4,1,56
0,11,5,1,26
0,16,25,2,6
0,13,15,1,16
1,5,2,2,31
0,24,11,2,8
1,24,2,1,49
0,18,7,1,18
1,5,9,1,37
0,10,9,1,23
1,4,5,1,36
1,23,5,2,39
1,20,5,1,27
1,14,2,1,19
1,1,10,1,20
0,14,15,2,11
1,11,4,2,42
1,8,2,2,37
0,10,6,2,22
1,13,6,2,17
1,16,4,2,19
1,14,3,1,20
0,16,22,1,12
0,19,10,1,18
0,13,3,2,19
1,19,3,2,18
0,6,7,1,26
1,4,17,1,38
0,10,5,1,37
1,4,3,1,38
0,9,8,1,14
1,6,9,2,22
1,14,1,1,33
1,11,1,1,31
0,9,13,2,55
1,7,3,2,24
0,26,8,2,21
0,10,4,2,28
0,4,19,1,33
1,13,3,1,11
0,21,5,2,42
0,16,13,1,20
1,17,3,2,68
1,8,4,2,51
0,7,23,2,44
0,16,15,1,6
0,26,6,2,23
0,18,2,1,20
0,24,3,1,28
0,21,1,2,17
0,6,15,1,22
0,6,9,1,57
0,5,13,1,25
0,16,25,2,9
1,8,7,1,15
0,14,12,1,16
1,9,1,1,51
0,17,13,2,10
1,11,1,1,31
0,26,1,2,27
0,1,18,2,33
0,24,9,2,29
0,11,24,1,12
0,10,3,2,19
1,25,1,1,57
0,1,16,2,23
0,15,14,2,5
1,23,4,1,25
0,15,6,1,18
0,19,8,2,19
1,9,1,2,53
0,18,10,1,8
0,10,20,1,10
0,22,5,2,23
1,24,1,2,56
1,26,2,1,49
1,11,1,2,27
0,22,2,1,18
1,4,7,1,33
0,17,16,2,3
1,21,4,1,21
0,6,19,1,22
1,24,5,2,37
1,3,4,2,34
0,22,11,2,6
0,25,6,2,25
0,15,21,2,10
0,6,17,2,38
1,14,3,2,12
1,22,6,2,45
1,3,1,2,37
1,10,14,1,32
1,6,2,1,29
1,25,5,1,21
1,18,2,1,44
1,21,6,2,21
0,23,3,2,24
1,22,4,1,5
1,25,5,1,44
1,18,9,1,49
0,20,1,2,41
0,25,3,1,52
0,20,3,1,45
0,1,17,1,23
1,5,2,2,49
1,20,3,1,15
1,10,5,2,23
0,7,18,1,34
0,26,5,1,23
0,19,15,2,14
1,21,1,1,19
0,8,20,2,35
0,25,24,2,2
0,5,24,2,44
1,1,8,1,29
0,9,11,2,20
0,19,23,1,12
1,15,2,1,30
0,8,20,1,36
1,24,4,2,52
